,,,,,
,,,,,
,,,,,
Alt_ChiangMai,Ensuite Plus (9),Ensuite (10),Ensuite Single (2),Flexie Plus (2),Flexie (4)
Daily Rates (THB),,,,,
Rack,"2,900","2,500","2,200","2,100","1,500"
High,"2,610","2,250","1,980","1,890","1,350"
Medium,"2,320","2,000","1,760","1,680","1,200"
Low,"1,885","1,750","1,540","1,470","1,050"
,,,,,
,,,,,
Alt_PingRiver,Ensuite Twin/King (13),Ensuite (9),Ensuite Single (2),Flexie XL (2),Flexie (4)
Daily Rates (THB),,,,,
Rack,3335,2500,2100,3300,1700
High,"3,002","2,250","1,890","2,970","1,530"
Medium,"2,668","2,000","1,680","2,640","1,360"
Low,"2,335","1,750","1,470","2,310","1,190"